date time   runq-sz plist-sz ldavg-1 ldavg-5 ldavg-15 blocked
2019-07-14 21:39:16   1 2053 1.41 0.93 0.95 0
2019-07-14 21:39:17   0 2053 1.41 0.93 0.95 0
2019-07-14 21:39:18   1 2052 1.41 0.93 0.95 0
2019-07-14 21:39:19   0 2053 1.41 0.93 0.95 0
2019-07-14 21:39:20   0 2051 1.29 0.91 0.95 0
2019-07-14 21:39:21   0 2052 1.29 0.91 0.95 1
2019-07-14 21:39:22   3 2052 1.29 0.91 0.95 0
2019-07-14 21:39:23   0 2052 1.29 0.91 0.95 0
2019-07-14 21:39:24   0 2056 1.29 0.91 0.95 0
2019-07-14 21:39:25   0 2054 1.19 0.90 0.94 0
2019-07-14 21:39:26   0 2058 1.19 0.90 0.94 1
2019-07-14 21:39:27   0 2055 1.19 0.90 0.94 0
2019-07-14 21:39:28   0 2056 1.19 0.90 0.94 0
2019-07-14 21:39:29   0 2056 1.19 0.90 0.94 0
2019-07-14 21:39:30   0 2057 1.09 0.88 0.94 0
2019-07-14 21:39:31   0 2057 1.09 0.88 0.94 1
2019-07-14 21:39:32   0 2043 1.09 0.88 0.94 0
2019-07-14 21:39:33   0 2043 1.09 0.88 0.94 0
2019-07-14 21:39:34   0 2046 1.09 0.88 0.94 0
2019-07-14 21:39:35   0 2043 1.01 0.87 0.93 0
2019-07-14 21:39:36   1 2046 1.01 0.87 0.93 1
2019-07-14 21:39:37   0 2048 1.01 0.87 0.93 0
2019-07-14 21:39:38   0 2048 1.01 0.87 0.93 0
2019-07-14 21:39:39   0 2047 1.01 0.87 0.93 0
2019-07-14 21:39:40   0 2043 0.93 0.85 0.93 0
2019-07-14 21:39:42   0 2044 0.93 0.85 0.93 0
2019-07-14 21:39:43   0 2043 0.93 0.85 0.93 0
2019-07-14 21:39:44   0 2043 0.93 0.85 0.93 0
2019-07-14 21:39:45   0 2043 0.93 0.85 0.93 0
2019-07-14 21:39:46   1 2044 0.93 0.85 0.93 0
2019-07-14 21:39:47   2 2043 0.93 0.85 0.93 0
2019-07-14 21:39:48   0 2044 0.93 0.85 0.93 0
2019-07-14 21:39:49   0 2044 0.93 0.85 0.93 0
2019-07-14 21:39:50   0 2047 0.93 0.85 0.93 1
2019-07-14 21:39:51   0 2044 0.86 0.84 0.92 0
2019-07-14 21:39:52   0 2042 0.86 0.84 0.92 0
2019-07-14 21:39:53   0 2041 0.86 0.84 0.92 0
2019-07-14 21:39:54   0 2041 0.86 0.84 0.92 0
2019-07-14 21:39:55   0 2041 0.86 0.84 0.92 1
2019-07-14 21:39:56   0 2041 0.79 0.83 0.92 0
2019-07-14 21:39:57   0 2041 0.79 0.83 0.92 0
2019-07-14 21:39:58   0 2041 0.79 0.83 0.92 0
2019-07-14 21:39:59   0 2041 0.79 0.83 0.92 0
2019-07-14 21:40:00   0 2038 0.79 0.83 0.92 1
2019-07-14 21:40:01   0 2037 0.72 0.81 0.91 0
2019-07-14 21:40:02   4 2039 0.72 0.81 0.91 0
2019-07-14 21:40:03   6 2065 0.72 0.81 0.91 0
2019-07-14 21:40:04   7 2064 0.72 0.81 0.91 0
2019-07-14 21:40:05   0 2040 0.67 0.80 0.91 1
2019-07-14 21:40:06   0 2040 0.67 0.80 0.91 0
2019-07-14 21:40:07   0 2040 0.67 0.80 0.91 0
2019-07-14 21:40:08   0 2041 0.67 0.80 0.91 0
2019-07-14 21:40:09   0 2040 0.67 0.80 0.91 0
2019-07-14 21:40:10   0 2042 0.61 0.78 0.90 1
2019-07-14 21:40:11   0 2040 0.61 0.78 0.90 0
2019-07-14 21:40:12   0 2039 0.61 0.78 0.90 0
2019-07-14 21:40:13   0 2039 0.61 0.78 0.90 0
2019-07-14 21:40:14   0 2039 0.61 0.78 0.90 0
2019-07-14 21:40:15   1 2058 0.64 0.79 0.90 1
2019-07-14 21:40:16   1 2063 0.64 0.79 0.90 0
2019-07-14 21:40:17   3 2064 0.64 0.79 0.90 0
2019-07-14 21:40:18   2 2079 0.64 0.79 0.90 0
2019-07-14 21:40:19   3 2104 0.64 0.79 0.90 0
2019-07-14 21:40:20   8 2112 1.15 0.89 0.93 1
2019-07-14 21:40:21   2 2114 1.15 0.89 0.93 0
2019-07-14 21:40:22   3 2123 1.15 0.89 0.93 0
2019-07-14 21:40:23   3 2134 1.15 0.89 0.93 0
2019-07-14 21:40:24   3 2153 1.15 0.89 0.93 0
2019-07-14 21:40:25   4 2172 1.22 0.91 0.94 1
2019-07-14 21:40:26   0 2220 1.22 0.91 0.94 0
2019-07-14 21:40:27   1 2207 1.22 0.91 0.94 0
2019-07-14 21:40:28   0 2205 1.22 0.91 0.94 0
2019-07-14 21:40:29   7 2201 1.22 0.91 0.94 0
2019-07-14 21:40:30   0 2112 1.20 0.91 0.94 1
2019-07-14 21:40:31   1 2052 1.20 0.91 0.94 0
2019-07-14 21:40:32   0 2047 1.20 0.91 0.94 0
2019-07-14 21:40:33   0 2046 1.20 0.91 0.94 0
2019-07-14 21:40:34   0 2046 1.20 0.91 0.94 0
2019-07-14 21:40:35   1 2046 1.27 0.93 0.95 1
2019-07-14 21:40:36   0 2046 1.27 0.93 0.95 0
2019-07-14 21:40:37   1 2045 1.27 0.93 0.95 0
2019-07-14 21:40:38   6 2045 1.27 0.93 0.95 0
2019-07-14 21:40:39   0 2048 1.27 0.93 0.95 0
2019-07-14 21:40:40   0 2045 1.17 0.91 0.94 1
2019-07-14 21:40:41   0 2045 1.17 0.91 0.94 0
2019-07-14 21:40:42   0 2045 1.17 0.91 0.94 0
2019-07-14 21:40:43   0 2044 1.17 0.91 0.94 0
2019-07-14 21:40:44   1 2046 1.17 0.91 0.94 0
2019-07-14 21:40:45   1 2044 1.15 0.92 0.94 0
2019-07-14 21:40:46   0 2044 1.15 0.92 0.94 0
2019-07-14 21:40:47   0 2046 1.15 0.92 0.94 0
2019-07-14 21:40:48   0 2048 1.15 0.92 0.94 0
2019-07-14 21:40:49   0 2045 1.15 0.92 0.94 0
2019-07-14 21:40:50   0 2045 1.06 0.90 0.94 0
2019-07-14 21:40:51   0 2046 1.06 0.90 0.94 0
2019-07-14 21:40:52   0 2046 1.06 0.90 0.94 0
2019-07-14 21:40:54   0 2046 1.06 0.90 0.94 0
2019-07-14 21:40:55   0 2044 1.06 0.90 0.94 0
2019-07-14 21:40:56   0 2047 0.97 0.89 0.93 1
2019-07-14 21:40:57   0 2044 0.97 0.89 0.93 0
2019-07-14 21:40:58   0 2044 0.97 0.89 0.93 0
2019-07-14 21:40:59   0 2044 0.97 0.89 0.93 0
2019-07-14 21:41:00   0 2046 0.97 0.89 0.93 0
2019-07-14 21:41:01   0 2043 0.90 0.87 0.93 1
2019-07-14 21:41:02   0 2045 0.90 0.87 0.93 0
2019-07-14 21:41:03   0 2044 0.90 0.87 0.93 0
2019-07-14 21:41:04   0 2047 0.90 0.87 0.93 0
2019-07-14 21:41:05   1 2045 0.90 0.87 0.93 0
2019-07-14 21:41:06   1 2046 1.06 0.91 0.94 1
2019-07-14 21:41:07   0 2047 1.06 0.91 0.94 0
2019-07-14 21:41:08   0 2045 1.06 0.91 0.94 0
2019-07-14 21:41:09   0 2045 1.06 0.91 0.94 0
2019-07-14 21:41:10   0 2045 1.06 0.91 0.94 0
2019-07-14 21:41:11   1 2071 0.98 0.89 0.93 1
2019-07-14 21:41:12   4 2070 0.98 0.89 0.93 0
2019-07-14 21:41:13   0 2046 0.98 0.89 0.93 0
2019-07-14 21:41:14   0 2045 0.98 0.89 0.93 0
2019-07-14 21:41:15   0 2045 0.98 0.89 0.93 0
2019-07-14 21:41:16   0 2046 0.90 0.88 0.93 1
2019-07-14 21:41:17   0 2046 0.90 0.88 0.93 0
2019-07-14 21:41:18   0 2045 0.90 0.88 0.93 0
2019-07-14 21:41:19   0 2045 0.90 0.88 0.93 0
2019-07-14 21:41:20   0 2045 0.83 0.86 0.92 0
2019-07-14 21:41:21   0 2044 0.83 0.86 0.92 1
2019-07-14 21:41:22   0 2045 0.83 0.86 0.92 0
2019-07-14 21:41:23   1 2066 0.83 0.86 0.92 0
2019-07-14 21:41:24   2 2071 0.83 0.86 0.92 0
2019-07-14 21:41:25   1 2076 1.00 0.90 0.93 0
2019-07-14 21:41:26   3 2093 1.00 0.90 0.93 0
2019-07-14 21:41:27   3 2114 1.00 0.90 0.93 0
2019-07-14 21:41:28   3 2114 1.00 0.90 0.93 0
2019-07-14 21:41:29   4 2119 1.00 0.90 0.93 0
2019-07-14 21:41:30   5 2132 1.24 0.95 0.95 0
2019-07-14 21:41:31   1 2152 1.24 0.95 0.95 0
2019-07-14 21:41:32   5 2209 1.24 0.95 0.95 0
2019-07-14 21:41:33   5 2208 1.24 0.95 0.95 0
2019-07-14 21:41:34   2 2204 1.24 0.95 0.95 0
2019-07-14 21:41:35   4 2211 1.14 0.93 0.94 0
2019-07-14 21:41:36   1 2217 1.14 0.93 0.94 0
2019-07-14 21:41:37   0 2106 1.14 0.93 0.94 0
2019-07-14 21:41:38   0 2043 1.14 0.93 0.94 0
2019-07-14 21:41:39   0 2043 1.14 0.93 0.94 0
2019-07-14 21:41:40   0 2041 1.05 0.92 0.94 0
2019-07-14 21:41:41   0 2041 1.05 0.92 0.94 1
2019-07-14 21:41:42   0 2041 1.05 0.92 0.94 0
2019-07-14 21:41:43   0 2041 1.05 0.92 0.94 0
2019-07-14 21:41:44   0 2041 1.05 0.92 0.94 0
2019-07-14 21:41:45   1 2042 0.97 0.90 0.93 0
2019-07-14 21:41:46   1 2044 0.97 0.90 0.93 1
2019-07-14 21:41:47   0 2044 0.97 0.90 0.93 0
2019-07-14 21:41:48   0 2046 0.97 0.90 0.93 0
2019-07-14 21:41:49   0 2049 0.97 0.90 0.93 0
2019-07-14 21:41:50   0 2046 0.89 0.89 0.93 0
2019-07-14 21:41:51   0 2072 0.89 0.89 0.93 0
2019-07-14 21:41:52   0 2072 0.89 0.89 0.93 0
2019-07-14 21:41:53   1 2072 0.89 0.89 0.93 0
2019-07-14 21:41:54   0 2073 0.89 0.89 0.93 0
2019-07-14 21:41:55   1 2071 1.38 0.99 0.96 0
2019-07-14 21:41:56   0 2070 1.38 0.99 0.96 0
2019-07-14 21:41:57   2 2070 1.38 0.99 0.96 0
2019-07-14 21:41:58   0 2073 1.38 0.99 0.96 1
2019-07-14 21:41:59   0 2073 1.38 0.99 0.96 0
2019-07-14 21:42:00   0 2073 1.51 1.02 0.97 0
2019-07-14 21:42:01   0 2073 1.51 1.02 0.97 0
2019-07-14 21:42:02   4 2071 1.51 1.02 0.97 0
2019-07-14 21:42:03   0 2068 1.51 1.02 0.97 0
2019-07-14 21:42:04   1 2067 1.51 1.02 0.97 0
2019-07-14 21:42:05   0 2067 1.47 1.02 0.97 0
2019-07-14 21:42:07   2 2060 1.47 1.02 0.97 0
2019-07-14 21:42:08   3 2046 1.47 1.02 0.97 0
2019-07-14 21:42:09   0 2046 1.47 1.02 0.97 0
2019-07-14 21:42:10   1 2049 1.47 1.02 0.97 0
2019-07-14 21:42:11   0 2048 1.43 1.02 0.97 0
2019-07-14 21:42:12   8 2047 1.43 1.02 0.97 0
2019-07-14 21:42:13   0 2047 1.43 1.02 0.97 0
2019-07-14 21:42:14   2 2050 1.43 1.02 0.97 0
2019-07-14 21:42:15   0 2047 1.43 1.02 0.97 0
2019-07-14 21:42:16   0 2047 1.32 1.00 0.97 0
2019-07-14 21:42:17   2 2046 1.32 1.00 0.97 0
2019-07-14 21:42:18   0 2047 1.32 1.00 0.97 0
2019-07-14 21:42:19   0 2044 1.32 1.00 0.97 0
2019-07-14 21:42:20   0 2044 1.32 1.00 0.97 0
2019-07-14 21:42:21   0 2044 1.29 1.00 0.97 1
2019-07-14 21:42:22   2 2047 1.29 1.00 0.97 0
2019-07-14 21:42:23   0 2045 1.29 1.00 0.97 0
2019-07-14 21:42:24   0 2046 1.29 1.00 0.97 0
2019-07-14 21:42:25   0 2044 1.29 1.00 0.97 0
2019-07-14 21:42:26   0 2040 1.19 0.99 0.96 0
2019-07-14 21:42:27   0 2040 1.19 0.99 0.96 0
2019-07-14 21:42:28   0 2041 1.19 0.99 0.96 0
2019-07-14 21:42:29   0 2041 1.19 0.99 0.96 0
2019-07-14 21:42:30   0 2041 1.19 0.99 0.96 0
2019-07-14 21:42:31   0 2041 1.09 0.97 0.96 0
2019-07-14 21:42:32   0 2041 1.09 0.97 0.96 0
2019-07-14 21:42:33   1 2039 1.09 0.97 0.96 0
2019-07-14 21:42:34   0 2040 1.09 0.97 0.96 0
2019-07-14 21:42:35   0 2041 1.09 0.97 0.96 0
2019-07-14 21:42:36   0 2040 1.00 0.95 0.95 0
2019-07-14 21:42:37   0 2040 1.00 0.95 0.95 0
2019-07-14 21:42:38   0 2040 1.00 0.95 0.95 0
2019-07-14 21:42:39   0 2040 1.00 0.95 0.95 0
